codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_aids_adulto
311230,Capelinha,2021,5,2021-5-01,0
311270,Capitão Enéas,2021,1,2021-1-01,0
311270,Capitão Enéas,2021,2,2021-2-01,1
311270,Capitão Enéas,2021,3,2021-3-01,0
311270,Capitão Enéas,2021,4,2021-4-01,0
311270,Capitão Enéas,2021,5,2021-5-01,0
311350,Carbonita,2021,1,2021-1-01,0
311350,Carbonita,2021,2,2021-2-01,0
311350,Carbonita,2021,3,2021-3-01,0
311350,Carbonita,2021,4,2021-4-01,0
311350,Carbonita,2021,5,2021-5-01,1
311390,Carmo da Cachoeira,2021,1,2021-1-01,1
311390,Carmo da Cachoeira,2021,2,2021-2-01,1
311390,Carmo da Cachoeira,2021,3,2021-3-01,0
311390,Carmo da Cachoeira,2021,4,2021-4-01,0
311390,Carmo da Cachoeira,2021,5,2021-5-01,0
311400,Carmo da Mata,2021,1,2021-1-01,0
311400,Carmo da Mata,2021,2,2021-2-01,0
311400,Carmo da Mata,2021,3,2021-3-01,0
311400,Carmo da Mata,2021,4,2021-4-01,1
311400,Carmo da Mata,2021,5,2021-5-01,0
311420,Carmo do Cajuru,2021,1,2021-1-01,1
311420,Carmo do Cajuru,2021,2,2021-2-01,1
311420,Carmo do Cajuru,2021,3,2021-3-01,1
311420,Carmo do Cajuru,2021,4,2021-4-01,1
311420,Carmo do Cajuru,2021,5,2021-5-01,0
311430,Carmo do Paranaíba,2021,1,2021-1-01,0
311430,Carmo do Paranaíba,2021,2,2021-2-01,2
311430,Carmo do Paranaíba,2021,3,2021-3-01,1
311430,Carmo do Paranaíba,2021,4,2021-4-01,4
311430,Carmo do Paranaíba,2021,5,2021-5-01,0
311440,Carmo do Rio Claro,2021,1,2021-1-01,0
311440,Carmo do Rio Claro,2021,2,2021-2-01,0
311440,Carmo do Rio Claro,2021,3,2021-3-01,2
311440,Carmo do Rio Claro,2021,4,2021-4-01,0
311440,Carmo do Rio Claro,2021,5,2021-5-01,0
